z,epsilon,B_toy,R_A_toy,E_A_candidate_guard,inv_E,distance_like_integral
0,-0.1,1,0,1,1,0
0.1,-0.1,1.02727272727,0.0454545454545,1.02261390205,0.977886177764,0.0988943088882
0.5,-0.1,1.1,0.166666666667,1.0818185992,0.92436939126,0.479345422693
1,-0.1,1.15,0.25,1.12160639883,0.891578365673,0.933332361927
2,-0.1,1.2,0.333333333333,1.16065932058,0.861579261261,1.80991117539
3,-0.1,1.225,0.375,1.17991316171,0.847519997618,2.66446080483
0,0,1,0,1,1,0
0.1,0,1.02727272727,0.0454545454545,1.02727272727,0.973451327434,0.0986725663717
0.5,0,1.1,0.166666666667,1.1,0.909090909091,0.475181013677
1,0,1.15,0.25,1.15,0.869565217391,0.919845045297
2,0,1.2,0.333333333333,1.2,0.833333333333,1.77129432066
3,0,1.225,0.375,1.225,0.816326530612,2.59612425263
0,0.1,1,0,1,1,0
0.1,0.1,1.02727272727,0.0454545454545,1.03195277718,0.969036589768,0.0984518294884
0.5,0.1,1.1,0.166666666667,1.11848696342,0.89406495802,0.471072139046
1,0.1,1.15,0.25,1.1791123886,0.848095575677,0.90661227247
2,0.1,1.2,0.333333333333,1.24067413622,0.806013417068,1.73366676884
3,0.1,1.225,0.375,1.27180969643,0.786281157323,2.52981405604
